url,walk_score,transit_score,bike_score
https://www.redfin.com/MO/Saint-Louis/4363-McPherson-Ave-63108/home/93740332,77.0,43.0,62.0
https://www.redfin.com/MO/Saint-Louis/1-Lenox-Pl-63108/home/93754478,86.0,44.0,60.0
https://www.redfin.com/MO/Saint-Louis/1202-Sidney-St-63104/home/62757286,86.0,41.0,56.0
https://www.redfin.com/MO/Saint-Louis/3235-S-Jefferson-Ave-63118/home/93694229,91.0,43.0,54.0
https://www.redfin.com/MO/Saint-Louis/6142-Kingsbury-Ave-63112/home/93760370,78.0,56.0,76.0
https://www.redfin.com/MO/Saint-Louis/6151-Westminster-Pl-63112/home/93760453,87.0,56.0,70.0
https://www.redfin.com/MO/Saint-Louis/1727-Lafayette-Ave-63104/home/161387920,85.0,49.0,62.0
https://www.redfin.com/MO/Saint-Louis/4013-Castleman-Ave-63110/home/93747130,70.0,38.0,63.0
https://www.redfin.com/MO/Saint-Louis/3830-Olive-St-63108/home/176875144,68.0,50.0,69.0
https://www.redfin.com/MO/Saint-Louis/3407-Hartford-St-63118/home/93692818,87.0,44.0,82.0
https://www.redfin.com/MO/Saint-Louis/3500-Humphrey-St-63118/home/93693329,89.0,45.0,79.0
https://www.redfin.com/MO/Saint-Louis/3500-Halliday-Ave-63118/home/93692424,84.0,43.0,79.0
https://www.redfin.com/MO/Saint-Louis/6364-Murdoch-Ave-63109/home/93780200,78.0,40.0,65.0
https://www.redfin.com/MO/Saint-Louis/121-W-Steins-St-63111/home/103203734,82.0,39.0,69.0
https://www.redfin.com/MO/Saint-Louis/6377-Murdoch-Ave-63109/home/93780202,78.0,40.0,65.0
https://www.redfin.com/MO/Saint-Louis/3145-Hawthorne-Blvd-63104/home/93691043,78.0,42.0,65.0
https://www.redfin.com/MO/Saint-Louis/14-Aberdeen-Pl-63105/home/93766508,65.0,43.0,82.0
https://www.redfin.com/MO/Saint-Louis/3854-Shenandoah-Ave-63110/home/143286604,75.0,39.0,65.0
https://www.redfin.com/MO/Saint-Louis/6-Arundel-Pl-63105/home/93769341,65.0,43.0,82.0
https://www.redfin.com/MO/Saint-Louis/4270-Delmar-Blvd-63108/home/103203752,68.0,43.0,53.0
https://www.redfin.com/MO/Saint-Louis/1224-S-9th-St-63104/home/93685451,68.0,56.0,62.0
https://www.redfin.com/MO/Saint-Louis/2115-Arsenal-St-63118/home/93699049,87.0,43.0,52.0
https://www.redfin.com/MO/Saint-Louis/3125-Russell-Blvd-63104/home/93690016,68.0,38.0,59.0
https://www.redfin.com/MO/Saint-Louis/3710-Utah-Pl-63116/home/93699899,85.0,45.0,65.0
https://www.redfin.com/MO/Saint-Louis/2326-Albion-Pl-63104/home/70101019,85.0,40.0,67.0
https://www.redfin.com/MO/Saint-Louis/5492-Pernod-Ave-63139/home/80168569,70.0,38.0,58.0
https://www.redfin.com/MO/Saint-Louis/4617-Westminster-Pl-63108/home/93739880,89.0,45.0,55.0
https://www.redfin.com/MO/Saint-Louis/6154-Kingsbury-Ave-63112/home/66186996,78.0,56.0,76.0
https://www.redfin.com/MO/Saint-Louis/5715-Walsh-St-63109/home/93768210,81.0,37.0,51.0
https://www.redfin.com/MO/Saint-Louis/2628-Lafayette-Ave-63104/home/109314191,84.0,38.0,53.0
https://www.redfin.com/MO/Saint-Louis/2037-Geyer-Ave-63104/home/93690315,82.0,41.0,72.0
https://www.redfin.com/MO/Saint-Louis/4101-W-Pine-Blvd-63108/unit-5/home/188992885,74.0,55.0,70.0
https://www.redfin.com/MO/Saint-Louis/5072-Cates-Ave-63108/home/85688089,79.0,43.0,53.0
https://www.redfin.com/MO/Saint-Louis/3451-Halliday-Ave-63118/home/93692530,83.0,44.0,79.0
https://www.redfin.com/MO/Saint-Louis/3656-Russell-Blvd-63110/unit-B/home/93680520,76.0,38.0,67.0
https://www.redfin.com/MO/Saint-Louis/1-Arundel-Pl-63105/home/93766512,62.0,43.0,70.0
https://www.redfin.com/MO/Saint-Louis/5893-Nina-Pl-63112/home/62721241,75.0,55.0,75.0
https://www.redfin.com/MO/Saint-Louis/4352-Westminster-Pl-63108/home/93740318,73.0,43.0,61.0
https://www.redfin.com/MO/Saint-Louis/3522-Crittenden-St-63118/home/93692725,87.0,44.0,81.0
https://www.redfin.com/MO/Saint-Louis/1317-Shenandoah-Ave-63104/home/93686294,81.0,41.0,58.0
https://www.redfin.com/MO/Saint-Louis/4263-Maryland-Ave-63108/home/109925963,75.0,54.0,65.0
https://www.redfin.com/MO/Saint-Louis/6075-W-Cabanne-Pl-63112/home/93746082,60.0,51.0,52.0
https://www.redfin.com/MO/Saint-Louis/2224-S-11th-St-63104/home/93686396,88.0,38.0,58.0
https://www.redfin.com/MO/Saint-Louis/2819-S-Kingshighway-Blvd-63139/home/93727935,72.0,32.0,65.0
https://www.redfin.com/MO/Saint-Louis/7406-Virginia-Ave-63111/home/93710763,80.0,41.0,71.0
https://www.redfin.com/MO/Saint-Louis/5112-Cabanne-Ave-63113/home/93744797,78.0,42.0,55.0
https://www.redfin.com/MO/Saint-Louis/6240-McPherson-Ave-63130/home/93760188,84.0,55.0,77.0
https://www.redfin.com/MO/Saint-Louis/5872-Cabanne-Ave-63112/home/93723926,63.0,50.0,51.0
https://www.redfin.com/MO/Saint-Louis/6202-Westminster-Pl-63130/home/93760179,90.0,55.0,71.0
https://www.redfin.com/MO/Saint-Louis/4483-Laclede-Ave-63108/home/93725038,84.0,58.0,66.0
https://www.redfin.com/MO/Saint-Louis/2918-Accomac-St-63104/home/93691012,78.0,41.0,60.0
https://www.redfin.com/MO/Saint-Louis/4469-Westminster-Pl-63108/home/62742627,85.0,45.0,55.0
https://www.redfin.com/MO/Saint-Louis/4618-Maryland-Ave-63108/home/93724575,87.0,44.0,63.0
https://www.redfin.com/MO/Saint-Louis/4257-McPherson-Ave-63108/home/93725679,75.0,51.0,64.0
https://www.redfin.com/MO/Saint-Louis/4731-Westminster-Pl-63108/home/173619560,89.0,45.0,54.0
https://www.redfin.com/MO/Saint-Louis/4918-Tamm-Ave-63109/home/93780327,76.0,38.0,51.0
https://www.redfin.com/MO/Saint-Louis/6002-W-Cabanne-Pl-63112/home/93739649,52.0,51.0,50.0
