address,city,zip,property_type,sold_date,price,sqft,sqft_imputed,price_per_sqft,beds,baths,year_built,lot_size,days_on_market,lat,lon,url
4552 Westminster Pl,Saint Louis,63108.0,Single Family Residential,March-7-2022,699000,3884.0,False,179.96910401647787,5.0,4.5,1891.0,7579.0,,38.6478112,-90.2574848,https://www.redfin.com/MO/Saint-Louis/4552-Westminster-Pl-63108/home/93739869
11 Lenox Pl,Saint Louis,63108.0,Single Family Residential,August-26-2021,979000,5841.0,False,167.60828625235405,5.0,4.5,1903.0,7736.0,,38.6469724,-90.2594057,https://www.redfin.com/MO/Saint-Louis/11-Lenox-Pl-63108/home/93754474
3 Beverly Pl,Saint Louis,63112.0,Single Family Residential,January-18-2023,225000,4251.0,False,52.928722653493296,6.0,4.5,1917.0,5828.0,,38.6537786,-90.2777868,https://www.redfin.com/MO/Saint-Louis/3-Beverly-Pl-63112/home/93753998
6966 Sutherland Ave,Saint Louis,63109.0,Single Family Residential,July-15-2021,565000,3442.0,False,164.1487507263219,6.0,4.5,2020.0,4095.0,,38.5921443,-90.3121908,https://www.redfin.com/MO/Saint-Louis/6966-Sutherland-Ave-63109/home/93774076
46 Kingsbury Pl,Saint Louis,63112.0,Single Family Residential,June-1-2023,1500000,5920.0,False,253.3783783783784,6.0,4.5,1915.0,14066.0,,38.6504986,-90.2805116,https://www.redfin.com/MO/Saint-Louis/46-Kingsbury-Pl-63112/home/62768129
5280 Westminster Pl,Saint Louis,63108.0,Single Family Residential,July-31-2023,1295000,5885.0,False,220.05097706032285,5.0,4.5,1901.0,11090.0,,38.6500897,-90.2729511,https://www.redfin.com/MO/Saint-Louis/5280-Westminster-Pl-63108/home/93745880
1833 S 8th,Saint Louis,63104.0,Single Family Residential,November-5-2025,1100000,6680.0,False,164.67065868263472,6.0,4.5,1893.0,9176.0,,38.6086012,-90.2033541,https://www.redfin.com/MO/Saint-Louis/1833-S-8th-St-63104/home/93685148
1401 Missouri Ave,Saint Louis,63104.0,Single Family Residential,November-24-2021,824000,3978.0,False,207.13926596279538,4.0,4.5,1886.0,3006.0,,38.6178186,-90.2182251,https://www.redfin.com/MO/Saint-Louis/1401-Missouri-Ave-63104/home/93700547
4350 Mcpherson Ave,Saint Louis,63108.0,Single Family Residential,February-22-2024,850000,4059.0,False,209.4111850209411,6.0,4.5,1902.0,9326.0,,38.6439689,-90.2515713,https://www.redfin.com/MO/Saint-Louis/4350-McPherson-Ave-63108/home/93725552
1424 Mississippi Ave,Saint Louis,63104.0,Single Family Residential,June-30-2023,685000,3223.0,False,212.53490536766986,4.0,4.5,1886.0,3437.0,,38.6166386,-90.213289,https://www.redfin.com/MO/Saint-Louis/1424-Mississippi-Ave-63104/home/93697505
4616 Mcpherson Ave,Saint Louis,63108.0,Single Family Residential,January-18-2022,615000,4090.0,False,150.36674816625916,4.0,4.5,1905.0,3441.0,,38.6472287,-90.2588461,https://www.redfin.com/MO/Saint-Louis/4616-McPherson-Ave-63108/home/65207091
3614 California Ave,Saint Louis,63118.0,Single Family Residential,June-8-2026,449900,2308.0,False,194.9306759098787,5.0,4.5,1892.0,6351.0,,38.5897388,-90.2306256,https://www.redfin.com/MO/Saint-Louis/3614-California-Ave-63118/home/93696248
4318 Laclede Ave,Saint Louis,63108.0,Single Family Residential,November-13-2025,650000,3048.0,False,213.25459317585302,5.0,4.5,1888.0,6211.0,,38.6380067,-90.2523677,https://www.redfin.com/MO/Saint-Louis/4318-Laclede-Ave-63108/home/93725206
3801 Utah Pl,Saint Louis,63116.0,Single Family Residential,August-12-2021,550000,2752.0,False,199.8546511627907,4.0,4.5,1909.0,6186.0,,38.597887,-90.247093,https://www.redfin.com/MO/Saint-Louis/3801-Utah-Pl-63116/home/93682376
3209 Shenandoah Ave,St. Louis,63104.0,Single Family Residential,December-31-2025,599900,3312.0,False,181.12922705314008,5.0,4.5,1899.0,6873.0,,38.6092435,-90.2343096,https://www.redfin.com/MO/St-Louis/3209-Shenandoah-Ave-63104/home/198866717
4254 Arsenal St,Saint Louis,63116.0,Single Family Residential,June-11-2026,650000,3774.0,False,172.23105458399576,4.0,4.5,1915.0,4168.0,,38.6042512,-90.2599638,https://www.redfin.com/MO/Saint-Louis/4254-Arsenal-St-63116/home/93750753
2712 S Compton Ave,Saint Louis,63118.0,Single Family Residential,June-2-2025,440000,2997.0,False,146.81348014681348,5.0,4.5,1896.0,,,38.6059116,-90.2342215,https://www.redfin.com/MO/Saint-Louis/2712-S-Compton-Ave-63118/home/93692010
5105 Cabanne Ave,Saint Louis,63113.0,Single Family Residential,February-8-2023,59900,2154.0,False,27.808727948003714,5.0,4.5,1905.0,4208.0,,38.6567262,-90.2666319,https://www.redfin.com/MO/Saint-Louis/5105-Cabanne-Ave-63113/home/93752273
