url,police_district,patrol,violent_crime_ytd,total_crime_ytd,violent_crime_rate,total_crime_rate
https://www.redfin.com/MO/Saint-Louis/4550-Pershing-Pl-63108/home/93724616,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2656-January-Ave-63139/home/84307902,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3846-Flad-Ave-63110/home/93700319,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4137-McDonald-Ave-63116/home/93728835,1,South,197,781,3.7884615384615383,15.019230769230768
https://www.redfin.com/MO/St-Louis/4101-W-Pine-Blvd-63108/unit-1-Benton/home/167145579,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/St-Louis/215-N-Sarah-St-63108/unit-10-Monet/home/184905662,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/53-Westmoreland-Pl-63108/home/93745453,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2404-S-11th-St-63104/home/93686741,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/St-Louis/1027-Lami-St-63104/home/195978952,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/5847-Holly-Hills-Ave-63109/home/93777677,1,South,197,781,3.7884615384615383,15.019230769230768
https://www.redfin.com/MO/Saint-Louis/1010-Russell-Blvd-63104/home/93686253,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/2819-Lafayette-Ave-63104/home/93700511,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/4050-Shreve-Ave-63115/home/93733577,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4009-Burgen-Ave-63116/home/93771883,1,South,197,781,3.7884615384615383,15.019230769230768
https://www.redfin.com/MO/Saint-Louis/5307-Shaw-Ave-63110/home/93726501,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4365-Forest-Park-Ave-63108/home/62735044,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/1010-Allen-Ave-63104/home/169424102,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/3137-Parc-Ridge-Ln-63139/home/93674343,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2848-McNair-Ave-63118/home/93691569,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/3507-McKean-Ave-63118/home/93693020,1,South,197,781,3.7884615384615383,15.019230769230768
https://www.redfin.com/MO/Saint-Louis/5099-Waterman-Blvd-63108/home/93745954,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/8-Lewis-Pl-63113/home/62716012,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2342-Albion-Pl-63104/home/70078076,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/1723-Waverly-Pl-63104/home/93690358,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/2613-S-11th-St-63118/home/93686370,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/2714-S-Jefferson-Ave-63118/home/93697448,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/5156-Maple-Ave-63113/home/93752434,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/210-Woodbourne-Dr-63105/home/93771918,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/6025-Lindell-Blvd-63112/home/93763504,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3501-Victor-St-63104/home/62702344,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3904-Botanical-Ave-63110/home/62693530,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3802-Olive-St-63108/unit-12/home/176875148,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/8460-Lowell-St-63147/home/93776011,6,North,310,717,6.739130434782608,15.58695652173913
https://www.redfin.com/MO/Saint-Louis/5335-Botanical-Ave-63110/home/93768175,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/6141-McPherson-Ave-63112/home/93760398,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2703-Keokuk-St-63118/home/93696285,2,South,118,726,2.681818181818182,16.5
https://www.redfin.com/MO/Saint-Louis/2704-Utah-St-63118/home/93693846,2,South,118,726,2.681818181818182,16.5
https://www.redfin.com/MO/Saint-Louis/3448-Longfellow-Blvd-63104/home/93748649,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4668-Pershing-Pl-63108/home/93724629,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/1216-S-Boyle-Ave-63110/home/93726645,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3809-Cleveland-Ave-63110/home/93700310,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/22-Benton-Pl-63104/home/93701242,4,Central,349,1016,6.017241379310345,17.517241379310345
